PERMITTED_VALUE	LONG_NAME	DEFINITION
Asbestos Exposure	Asbestos Exposure	Inhalation of asbestos fibers.
Chemical Exposure	Chemical Exposure	Contact with a chemical substance through touch, inhalation, or ingestion.
Marijuana Smoke Exposure	Marijuana Smoke Exposure	Environmental, occupational or consumer-based exposure to airborne gases and particulates produced by direct or nearby use of a vaporized or combusted product made from the leaves and flowers of the cannabis plant.
Radiation Exposure	Radiation Exposure	Exposure to radioactive materials or ionizing radiation, whether by external irradiation, contact or contamination with radioactive material, or incorporation of radioactive materials, as in the case of certain diagnostic procedures.
Radon Exposure	Radon Exposure	Inhalation of radon gas which is found in rocks, soil and groundwater as a result of radioactive decay of uranium, thorium, or radium in the environment.
Respirable Crystalline Silica Exposure	Respirable Crystalline Silica Exposure	Environmental, occupational or consumer-based exposure to respirable particles derived from industrial processing or breakdown of silica-containing materials such as sand, concrete, stone, mortar, bricks,  glass, pottery and ceramics.
Smoke Exposure	Smoke Exposure	Environmental, occupational or consumer-based exposure to airborne gases and particulates produced when materials undergo combustion or thermal decomposition.
Smokeless Tobacco Exposure	Smokeless Tobacco Exposure	Environmental, occupational, or consumer-based exposure to any smokeless tobacco product.
Tobacco Related Exposure	Tobacco Related Exposure	Environmental, occupational or consumer-based exposure to airborne gases and particulates produced by direct or nearby use of a vaporized or combusted tobacco product.
Wood Dust Exposure	Wood Dust Exposure	Environmental or occupational exposure to granular solids generated when timber is processed, such as when it is chipped, sawed, turned, drilled or sanded.
