PERMITTED_VALUE	LONG_NAME	DEFINITION
Adverse Event	Adverse Event	Any unfavorable or unintended disease, sign, or symptom (including an abnormal laboratory finding) that is temporally associated with the use of a medical treatment or procedure, and that may or may not be considered related to the medical treatment or procedure. Such events can be related to the intervention, dose, route of administration, patient, or caused by an interaction with another drug(s) or procedure(s).
Death	Death	The absence of life or state of being dead.
Disease Progression	Disease Progression	The worsening of a disease over time
Non Compliance	Subject Noncompliance	Failure of a study subject to comply with an aspect of the study.
Other	Other	Different than the one(s) previously specified or mentioned.
Participant Withdrawal	Withdrawal by Subject	An indication that a study participant has removed itself from the study.
Physician Decision	Physician Decision	A position, opinion or judgment reached after consideration by a physician with reference to subject.
Protocol Defined Delay	Protocol-defined Treatment Delay	A break or delay in treatment that is fully described in a protocol.
Protocol Violation	Protocol Violation	A significant departure from processes or procedures that were required by the protocol. Violations often result in data that are not deemed evaluable for a per-protocol analysis, and may require that the subject(s) who violate the protocol be discontinued from the study. Compare to protocol deviation. (CDISC Glossary)
Treatment Complete	Study Treatment Course Completion Occurrence	An indication or description that the course of study treatment has been carried out in full.
