PERMITTED_VALUE	LONG_NAME	DEFINITION
%	Percent	A unit for expressing a number as a fraction of hundred (on the basis of a rate or proportion per hundred).
%/100 WBC	Percent Per 100 WBC	A unit for percentage measurement of fraction of any type of white blood cells in the total white blood cell count differential.
/100 WBC	Per 100 identifiable White blood cells	Natural number unit for measurement of portion of a particular type of blood cells (such as any type of white blood cells or nucleated red blood cells) in the total white blood cell count expressed per count of 100.
/mm3	Per millimeter cubed	Per millimeter cubed
/nL	Per Nanoliter	A volume unit equal to one nanoliter used as a denominator to build a derived unit expressed as a ratio.
/pL	Per Picoliter	A volume unit equal to one picoliter used as a denominator to build a derived unit expressed as a ratio.
10E-15L (fL)	Ten Exponential Function 15 Liter	A natural number greater than 9 and less than 11 and the quantity that it denotes: the sum of nine and one.: A function of the form f(x) = ab^x, characterized by the fact that the growth rate of such a function is directly proportional to the value of the function.: A number with no fractional part, including the negative and positive numbers as well as zero.::15: The non-SI unit of volume accepted for use with the SI. One liter is equal to cubic decimeter, or one thousandth of cubic meter, or 1000 cubic centimeters, or approximately 61.023 744 cubic inches.
10E10	Ten Exponent 10 Unit of Measure	A natural number greater than 9 and less than 11 and the quantity that it denotes: the sum of nine and one.: A mathematical expression that results when e(=2.71828) is raised to it argument's power.: A number with no fractional part, including the negative and positive numbers as well as zero.::10: A named quantity in terms of which other quantities are measured or specified, used as a standard measurement of like kinds.
10E11	Ten Exponent:11 Unit of Measure	A natural number greater than 9 and less than 11 and the quantity that it denotes: the sum of nine and one.: A mathematical expression that results when e(=2.71828) is raised to it argument's power.: A number with no fractional part, including the negative and positive numbers as well as zero.::11: A named quantity in terms of which other quantities are measured or specified, used as a standard measurement of like kinds.
10E12	Ten Exponent 12 Unit of Measure	A natural number greater than 9 and less than 11 and the quantity that it denotes: the sum of nine and one.: A mathematical expression that results when e(=2.71828) is raised to it argument's power.: A number with no fractional part, including the negative and positive numbers as well as zero.::12: A named quantity in terms of which other quantities are measured or specified, used as a standard measurement of like kinds.
10E12 Cells/L	10E12 Cells per liter	A unit of cell concentration expressed as a number of cells in trillions per unit volume equal to one liter.
10E13	Ten Exponent 13 Unit of Measure	A natural number greater than 9 and less than 11 and the quantity that it denotes: the sum of nine and one.: A mathematical expression that results when e(=2.71828) is raised to it argument's power.: A number with no fractional part, including the negative and positive numbers as well as zero.::13: A named quantity in terms of which other quantities are measured or specified, used as a standard measurement of like kinds.
10E14	Ten Exponent 14 Unit of Measure	A natural number greater than 9 and less than 11 and the quantity that it denotes: the sum of nine and one.: A mathematical expression that results when e(=2.71828) is raised to it argument's power.: A number with no fractional part, including the negative and positive numbers as well as zero.::14: A named quantity in terms of which other quantities are measured or specified, used as a standard measurement of like kinds.
10E15	Ten Exponent 15 Unit of Measure	A natural number greater than 9 and less than 11 and the quantity that it denotes: the sum of nine and one.: A mathematical expression that results when e(=2.71828) is raised to it argument's power.: A number with no fractional part, including the negative and positive numbers as well as zero.::15: A named quantity in terms of which other quantities are measured or specified, used as a standard measurement of like kinds.
10E16	Ten Exponent 16 Unit of Measure	A natural number greater than 9 and less than 11 and the quantity that it denotes: the sum of nine and one.: A mathematical expression that results when e(=2.71828) is raised to it argument's power.: A number with no fractional part, including the negative and positive numbers as well as zero.::16: A named quantity in terms of which other quantities are measured or specified, used as a standard measurement of like kinds.
10E17	Ten Exponent 17 Unit of Measure	A natural number greater than 9 and less than 11 and the quantity that it denotes: the sum of nine and one.: A mathematical expression that results when e(=2.71828) is raised to it argument's power.: A number with no fractional part, including the negative and positive numbers as well as zero.::17: A named quantity in terms of which other quantities are measured or specified, used as a standard measurement of like kinds.
10E18	Ten Exponent 18 Unit of Measure	A natural number greater than 9 and less than 11 and the quantity that it denotes: the sum of nine and one.: A mathematical expression that results when e(=2.71828) is raised to it argument's power.: A number with no fractional part, including the negative and positive numbers as well as zero.::18: A named quantity in terms of which other quantities are measured or specified, used as a standard measurement of like kinds.
10E19	Ten Exponent 19 Unit of Measure	A natural number greater than 9 and less than 11 and the quantity that it denotes: the sum of nine and one.: A mathematical expression that results when e(=2.71828) is raised to it argument's power.: A number with no fractional part, including the negative and positive numbers as well as zero.::19: A named quantity in terms of which other quantities are measured or specified, used as a standard measurement of like kinds.
10E2	Ten Exponent 2 Unit of Measure	A natural number greater than 9 and less than 11 and the quantity that it denotes: the sum of nine and one.: A mathematical expression that results when e(=2.71828) is raised to it argument's power.: A number with no fractional part, including the negative and positive numbers as well as zero.::2: A named quantity in terms of which other quantities are measured or specified, used as a standard measurement of like kinds.
10E20	Ten Exponent 20 Unit of Measure	A natural number greater than 9 and less than 11 and the quantity that it denotes: the sum of nine and one.: A mathematical expression that results when e(=2.71828) is raised to it argument's power.: A number with no fractional part, including the negative and positive numbers as well as zero.::20: A named quantity in terms of which other quantities are measured or specified, used as a standard measurement of like kinds.
10E3	Ten Exponent 3 Unit of Measure	A natural number greater than 9 and less than 11 and the quantity that it denotes: the sum of nine and one.: A mathematical expression that results when e(=2.71828) is raised to it argument's power.: A number with no fractional part, including the negative and positive numbers as well as zero.::3: A named quantity in terms of which other quantities are measured or specified, used as a standard measurement of like kinds.
