PERMITTED_VALUE	DESCRIPTION	DEFINITION
Source Data Not Available	None	Data from an original source is not present, accessible or ready for use or service.
Not Reported	None	Not provided or available.
Unknown	None	Not known, not observed, not recorded, or refused.
Not Applicable	None	Determination of a value is not relevant in the current context.
Abdominal (Mesenteric) Fibromatosis	None	An insidious poorly circumscribed neoplasm arising from the deep soft tissues of the abdomen. It is characterized by the presence of elongated spindle-shaped fibroblasts, collagenous stroma formation, and an infiltrative growth pattern.
Acinar Cell Carcinoma	None	A malignant tumor arising from secreting cells of a racemose gland, particularly the salivary glands. Racemose (Latin racemosus, full of clusters) refers, as does acinar (Latin acinus, grape), to small saclike dilatations in various glands. Acinar cell carcinomas are usually well differentiated and account for about 13% of the cancers arising in the parotid gland. Lymph node metastasis occurs in about 16% of cases. Local recurrences and distant metastases many years after treatment are common. This tumor appears in all age groups and is most common in women. (Stedman, 25th ed; Holland et al., Cancer Medicine, 3d ed, p1240; from DeVita Jr et al., Cancer: Principles & Practice of Oncology, 3d ed, p575)
Acquired Cystic Disease-Associated Renal Cell Carcinoma	None	The most common renal cell carcinoma that develops in patients with end-stage renal disease and acquired cystic disease.
Acral Nevus	None	A melanocytic nevus that arises from the palms, soles, and nails.
Acute Basophilic Leukemia	None	A rare acute myeloid leukemia in which the immature cells differentiate towards basophils.
Acute Erythroid Leukemia	None	An acute myeloid leukemia characterized by a predominant immature erythroid population.  There are two subtypes recognized: erythroleukemia and pure erythroid leukemia.  Severe anemia is a common symptom.  This leukemia usually follows an aggressive clinical course.  (WHO, 2001)
Acute Lymphoblastic Leukemia	None	Leukemia with an acute onset, characterized by the presence of lymphoblasts in the bone marrow and the peripheral blood.  It includes the acute B lymphoblastic leukemia and acute T lymphoblastic leukemia.
Acute Monocytic Leukemia	None	An acute myeloid leukemia in which the majority of monocytic cells are promonocytes.  (WHO, 2001) -- 2003
Acute Myeloid Leukemia Not Otherwise Specified	None	Acute myeloid leukemias that do not fulfill the criteria for inclusion in the group of acute myeloid leukemias which have recurrent genetic abnormalities or myelodysplastic changes, or are therapy-related.  This category includes entities classified according to the French-American-British classification scheme.
Acute Myeloid Leukemia with Biallelic Mutations of CEBPA	None	An acute myeloid leukemia with double mutations of the CEBPA gene.
Acute Myeloid Leukemia with inv(3) (q21.3;q26.2) or t(3;3) (q21.3;q26.2); GATA2, MECOM	None	An acute myeloid leukemia associated with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2) resulting in the reposition of a distal GATA2 enhancer to activate MECOM expression. It may present de novo or follow a myelodysplastic syndrome. The clinical course is aggressive.
Acute Myeloid Leukemia with Maturation	None	An acute myeloid leukemia (AML) characterized by blasts with evidence of maturation to more mature neutrophils. Patients often present with anemia, neutropenia, and thrombocytopenia. AML with the t(8;21) is usually AML with maturation. This type of AML frequently responds to aggressive therapy. (WHO, 2001)
Acute Myeloid Leukemia with Myelodysplasia-Related Changes	None	An acute myeloid leukemia with at least 20% blasts in the bone marrow or blood, and either a previous history of myelodysplastic syndrome, multilineage dysplasia or myelodysplastic syndrome-related cytogenetic abnormalities.  There is no history of prior cytotoxic therapy for an unrelated disorder, and there is absence of the cytogenetic abnormalities that are present in acute myeloid leukemia with recurrent genetic abnormalities.
Acute Myeloid Leukemia with RUNX1 Mutation	None	De novo acute myeloid leukemia with RUNX1 gene mutation, not associated with myelodysplastic syndrome-related cytogenetic abnormalities.
Acute Myeloid Leukemia with t(8;21); (q22; q22.1); RUNX1-RUNX1T1	None	An acute myeloid leukemia (AML) showing maturation in the neutrophil lineage.  The bone marrow and the peripheral blood show large myeloblasts with abundant basophilic cytoplasm, often containing azurophilic granules.  This type of AML is associated with good response to chemotherapy and high complete remission rate.  (WHO, 2001)
Acute Myelomonocytic Leukemia	None	An acute leukemia characterized by the proliferation of both neutrophil and monocyte precursors.  (WHO, 2001)
