PERMITTED_VALUE	DESCRIPTION	DEFINITION
APL Differentiation Syndrome	APL Differentiation Syndrome	A syndrome observed in patients with acute promyelocytic leukemia treated with all-trans retinoic acid. It is characterized by weight gain, dyspnea, pleural and pericardial effusions, leukocytosis, and renal failure.
Accidental death	Accident Death	An unforeseen and unplanned event or circumstance frequently causing loss or injury.: The absence of life or state of being dead.
Acute GVHD	Acute Graft Versus Host Disease	A syndrome of immunologically mediated tissue damage that may occur following an allogeneic transplant, usually affecting the skin, liver, and GI tract. The onset is usually within one hundred days of transplantation or immunologic manipulation.
Adult Respiratory Distress Syndrome (ARDS)	Adult Respiratory Distress Syndrome	fulminant pulmonary interstitial and alveolar edema resulting from diffuse infection, shock, or trauma of the lungs.
Adverse Event	Adverse Event	Any unfavorable or unintended disease, sign, or symptom (including an abnormal laboratory finding) that is temporally associated with the use of a medical treatment or procedure, and that may or may not be considered related to the medical treatment or procedure. Such events can be related to the intervention, dose, route of administration, patient, or caused by an interaction with another drug(s) or procedure(s).
Aspiration Pneumonia	Aspiration Pneumonia	Pneumonia secondary to aspiration of liquids and gastric contents into the lungs.
BCNU IP	Carmustine Interstitial Pneumonia	An antineoplastic nitrosourea. Carmustine alkylates and cross-links DNA during all phases of the cell cycle, resulting in disruption of DNA function, cell cycle arrest, and apoptosis.  This agent also carbamoylates proteins, including DNA repair enzymes, resulting in an enhanced cytotoxic effect.  Carmustine is highly lipophilic and crosses the blood-brain barrier readily. (NCI04): Inflammation of interstitial lung tissue, usually associated with infection.
Bacterial infection	Bacterial Infection	infections and associated diseases by bacteria, general or unspecified.
Cancer Related	None	A death attributed to the progression of a cancer-related pathologic condition.
Cardiac Disease	None	A non-neoplastic or neoplastic disorder that affects the heart and/or the pericardium. Representative examples include endocarditis, pericarditis, atrial myxoma, cardiac myeloid sarcoma, and pericardial malignant mesothelioma.
Cardiac failure	Heart Failure	Inability of the heart to pump blood at an adequate rate to meet tissue metabolic requirements or the ability to do so only at an elevated filling pressure.
Cardiopulmonary Arrest	Cardiopulmonary Arrest	Cessation of breathing and/or cardiac function.
Cardiovascular Disorder	Cardiovascular Disorder	A non-neoplastic or neoplastic disorder affecting the heart or the vessels (arteries, veins and lymph vessels).  Representative examples of non-neoplastic cardiovascular disorders are endocarditis and hypertension.  Representative examples of neoplastic cardiovascular disorders are endocardial myxoma and angiosarcoma. -- 2003
Cardiovascular accident	Cerebrovascular Accident	A sudden loss of neurologic function secondary to hemorrhagic or ischemia in the brain parenchyma due to a vascular event. Infarction or hemorrhage may be demonstrated either directly by imaging,laboratory, or pathologic examination in patients with symptom duration less than 24 hours, or inferred by symptoms lasting greater than or equal to 24 hours (or fatal within 24 hours) that cannot be attributed to another cause.  Diagnostic tests include CT scan, MRI, angiography, and EEG to locate and evaluate the extent of the hemorrhagic or ischemic damage in the brain parenchyma, coagulation studies, complete blood count, comprehensive metabolic panel, and urinalysis.
Central nervous system(CNS) failure	Central Nervous System Failure	The main information-processing organs of the nervous system, consisting of the brain, spinal cord, and meninges.: loss of ability to function normally.
Chronic GVHD	Chronic Graft Versus Host Disease	A syndrome of immunologically mediated tissue damage that may occur following an allogeneic transplant, and may affect multiple organs with manifestations similar to autoimmune diseases. The onset is usually within three years of transplantation or immunologic manipulation.
Chronic Obstructive Pulmonary Disease	Chronic Obstructive Pulmonary Disease	A chronic and progressive lung disorder characterized by the loss of elasticity of the bronchial tree and the air sacs, destruction of the air sacs wall, thickening of the bronchial wall, and mucous accumulation in the bronchial tree. The pathologic changes result in the disruption of the air flow in the bronchial airways. Signs and symptoms include shortness of breath, wheezing, productive cough, and chest tightness. The two main types of chronic obstructive pulmonary disease are chronic obstructive bronchitis and emphysema.
Chronic liver disease	Stigmata of Chronic Liver Disease	Signs of chronic liver disease which include jaundice, ascites, palmar erythema, spider hemangiomas, gynecomastia, and encephalopathy.
Congestive Heart Failure	Congestive heart failure	Failure of the heart to pump a sufficient amount of blood to meet the needs of the body tissues, resulting in tissue congestion and edema. Signs and symptoms include shortness of breath, pitting edema, enlarged tender liver, engorged neck veins, and pulmonary rales.
Coronary artery disease (atherosclerosis)	Coronary Disease	An imbalance between myocardial functional requirements and the capacity of the coronary vessels to supply sufficient blood flow. It is a form of MYOCARDIAL ISCHEMIA (insufficient blood supply to the heart muscle) caused by a decreased capacity of the coronary vessels.
Dementia  (including Alzheimer's disease)	Dementia	An acquired organic mental disorder with loss of intellectual abilities of sufficient severity to interfere with social or occupational functioning. The dysfunction is multifaceted and involves memory, behavior, personality, judgment, attention, spatial relations, language, abstract thought, and other executive functions. The intellectual decline is usually progressive, and initially spares the level of consciousness.
Diabetes Mellitus	Diabetes Mellitus	A metabolic disorder characterized by abnormally high blood sugar levels due to diminished production of insulin or insulin resistance/desensitization.
Disseminated intravascular coagulation (DIC)	DIC	Disseminated intravascular coagulation (DIC) is a pathological process in the body where the blood starts to coagulate throughout the whole body. This depletes the body of its platelets and coagulation factors, and there is an increased the risk of hemorrhage.  There are a variety of causes of DIC, all usually causing the release of chemicals into the blood that instigates the coagulation. (from Wikipedia)
Drug Related	Drug Toxicity	An adverse effect of a drug used therapeutically or diagnostically.
End-stage Renal Disease	None	Long-standing and persistent renal disease with glomerular filtration rate (GFR) less than 15 ml/min.
Failure to Thrive	Failure to Thrive	A clinical finding indicating less than normal growth in an infant or child, or a state of global decline in an adult.
Fungal infection	Fungal Infection	An infection caused by eukaryotic heterotrophic organisms that live as saprobes or parasites, including mushrooms, yeasts, smuts, molds, etc. They reproduce either sexually or asexually, and have life cycles that range from simple to complex. Filamentous fungi refer to those that grow as multicellular colonies (mushrooms and molds).
Gastrointestinal (GI) failure (not liver)	Gastrointestinal Failure	(GAS-tro-in-TES-tih-nul) GI.  Refers to the stomach and intestines.: loss of ability to function normally.
Gastrointestinal hemorrhage	Gastrointestinal Hemorrhage	(GAS-tro-in-TES-tih-nul) GI.  Refers to the stomach and intestines.: Bleeding or escape of blood from a vessel.
Graft Versus Host Disease	Graft Versus Host Disease	An incompatibility reaction (which may be fatal) in a subject (host) of low immunological competence (deficient lymphoid tissue) who has been the recipient of immunologically competent lymphoid tissue from a donor who lacks at least one antigen possessed by the recipient host; the reaction, or disease, is the result of action of the transplanted cells against those host tissues that possess the antigen not possessed by the donor. Seen most commonly following bone marrow transplantation, acute disease is seen after 5-40 days and chronic disease weeks to months after transplantation, affecting, principally, the gastrointestinal tract, liver, and skin.
Graft rejection or failure	Graft Rejection	Failure of transplanted tissue to become functional or operational, often as a result of destruction by the host's immune system.
HIV/AIDS	Human Immunodeficiency Virus And/Or Acquired Immunodeficiency Syndrome	Human immunodeficiency virus. Species of LENTIVIRUS, subgenus primate lentiviruses (LENTIVIRUSES, PRIMATE), formerly designated T-cell lymphotropic virus type III/lymphadenopathy-associated virus (HTLV-III/LAV). It is acknowledged to be the agent responsible for the acute infectious manifestations, neurologic disorders, and immunologic abnormalities linked to the ACQUIRED IMMUNODEFICIENCY SYNDROME.: Used to indicate that either or both of two items or options may be valid.: A syndrome resulting from the acquired deficiency of cellular immunity caused by the human immunodeficiency virus (HIV). It is characterized by the reduction of the Helper T-lymphocytes in the peripheral blood and the lymph nodes; opportunistic infections (usually pneumocystis carinii pneumonia, cytomegalovirus (CMV) infections, tuberculosis, candida infections, and cryptococcosis); and the development of malignant neoplasms (usually non-Hodgkin's lymphoma and Kaposi's sarcoma). The human immunodeficiency virus is transmitted through sexual contact, sharing of contaminated needles, or transfusion of contaminated blood. Generalized lymphadenopathy, fever, weight loss, and chronic diarrhea are common symptoms of AIDS. The patients usually die either of opportunistic infections or malignant neoplasms. -- 2004
Hemorrhage	Hemorrhage	Bleeding or escape of blood from a vessel.
Hemorrhage, not otherwise specified	Hemorrhage Not Otherwise Specified	Bleeding or escape of blood from a vessel.: Not characterized in any other way.
Hemorrhagic cystitis	Hemorrhage Cystitis	Bleeding or escape of blood from a vessel.: Inflammation of the urinary bladder. (Dorland, 27th ed)
Hepatitis	Hepatitis	Inflammation of the liver; usually from a viral infection, but sometimes from toxic agents.
Herpes	Herpes	Any inflammatory skin disease caused by a herpesvirus and characterized by the formation of small vesicles in clusters.
IPS, idiopathic	Idiopathic Pneumonia Syndrome Idiopathic	An inflammatory lung disease characterized by diffuse interstitial pneumonitis and alveolitis leading to interstitial fibrosis in the absence of an identifiable infectious agent.: Describes a disease of unknown cause.
IPS, viral, cytomegalovirus(CMV)	Idiopathic Pneumonia Syndrome Viral Cytomegalovirus	An inflammatory lung disease characterized by diffuse interstitial pneumonitis and alveolitis leading to interstitial fibrosis in the absence of an identifiable infectious agent.: Having to do with a virus.: A genus of the family herpesviridae, subfamily betaherpesvirinae, infecting the salivary glands, liver, spleen, lungs, eyes, and other organs, in which they produce characteristically enlarged cells with intranuclear inclusions.
IPS, viral, other	Idiopathic Pneumonia Syndrome Viral Other	An inflammatory lung disease characterized by diffuse interstitial pneumonitis and alveolitis leading to interstitial fibrosis in the absence of an identifiable infectious agent.: Having to do with a virus.: Not otherwise specified.
Immunotherapy-Related	None	An observation that a situation is related to immunotherapy received.
Infection	Infection	A disorder resulting from the presence and activity of a microbial, viral, or parasitic agent. It can be transmitted by direct or indirect contact.
Infection, NOS	None	The invasion of an organism's body tissues by disease-causing agents and their multiplication, as well as the reaction by the host to these organisms and/or toxins that the organisms produce._Not characterized in any other way.
Infection, organism not identified	Infection Organism Not Identified	A disorder resulting from the presence and activity of a microbial, viral, fungal, or parasitic agent. It can be transmitted by direct or indirect contact.: A living thing, such as an animal, a plant, a bacterium, or a fungus.: The finding is not present, but a value of 'none' cannot be unequivocally established absence in the current context.
Influenza	Influenza	An acute viral infection of the respiratory tract, occurring in isolated cases, in epidemics, or in pandemics; it is caused by serologically different strains of viruses (influenzaviruses) designated A, B, and C, has a 3-day incubation period, and usually lasts for 3 to 10 days. It is marked by inflammation of the nasal mucosa, pharynx, and conjunctiva; headache; myalgia; often fever, chills, and prostration; and occasionally involvement of the myocardium or central nervous system.
Interstitial Pneumonia (IP) NOS	Not Otherwise Specified Interstitial Pneumonia	Not characterized in any other way.: Inflammation of interstitial lung tissue, usually associated with infection.
Intracranial hemorrhage	Intracranial Hemorrhage	Bleeding within the cranium.
Liver failure (not VOD)	Liver Failure	A large organ located in the upper abdomen. The liver cleanses the blood and aids in digestion by secreting bile.: loss of ability to function normally.
Multiple Organ Failure	Multiple Organ Failure	A progressive condition usually characterized by combined failure of the lungs, liver, kidney, and clotting mechanisms.
Myocardial infarction	Myocardial infarction	Gross necrosis of the myocardium, as a result of interruption of the blood supply to the area. (Dorland, 27th ed)
Natural causes	Natural Cause of Death	A description for something that exists in or is produced by nature, and is not artificial or man-made.: The circumstance or condition that results in the death of a living being.
Non-protocol cancer therapy	Non-Protocol Cancer Treatment	Treatment not specified in a protocol.: Any intervention for management of a malignant neoplasm.
Not Cancer Related	None	A death attributed to any cause other than the progression of a cancer-related pathologic condition.
Not Reported	None	Not provided or available.
Organ failure, not otherwise specified	Organ Failure Not Otherwise Specified	A part of the body that performs a specific function.  For example, the heart is an organ.: loss of ability to function normally.: Not characterized in any other way.
Other cause	Other Reason	Not otherwise specified.: An explanation of the cause of some phenomenon or action.
Parkinson's Disease	Parkinson's Disease	A progressive degenerative disorder of the central nervous system characterized by loss of dopamine producing neurons in the substantia nigra and the presence of Lewy bodies in the substantia nigra and locus coeruleus. Signs and symptoms include tremor which is most pronounced during rest, muscle rigidity, slowing of the voluntary movements, a tendency to fall back, and a mask-like facial expression.
Persistence or recurrence of underlying disease	Persistent Disease Or Recurrent Disease	A disease that does not go to remission despite treatment.: An article used to connect words, phrases, or clauses representing alternatives; used to connect alternative terms for the same thing; used in correlation; used to correct or rephrase what was previously said; otherwise.: The return of a disease after a period of remission.
Pneumonia NOS	Not Otherwise Specified Pneumonia	Not characterized in any other way.: Inflammation of the lungs.
Prior malignancy	Prior Malignant Neoplasm	Earlier in time or order.: A tumor composed of atypical neoplastic, often pleomorphic cells that invade other tissues.  Malignant neoplasms usually metastasize to distant anatomic sites and may recur after excision.  The most common malignant neoplasms are carcinomas (adenocarcinomas or squamous cell carcinomas), Hodgkin's and non-Hodgkin's lymphomas, leukemias, melanomas, and sarcomas. -- 2004
Protozoal infection	Protozoal Infection	Infections with unicellular organisms of the subkingdom PROTOZOA.
Pulmonary Disease	None	A non-neoplastic or neoplastic disorder affecting the lung. Representative examples of non-neoplastic disorders include chronic obstructive pulmonary disease and pneumonia. Representative examples of neoplastic disorders include benign processes (e.g., respiratory papilloma) and malignant processes (e.g., lung carcinoma and metastatic cancer to the lung).
Pulmonary Embolism	Pulmonary Embolism	The closure of the pulmonary artery or one of its branches by an embolus, sometimes associated with infarction of the lung.
Pulmonary failure	Pulmonary Failure	Relating to the lungs.: loss of ability to function normally.
Pulmonary hemorrhage	Pulmonary Hemorrhage	Relating to the lungs.: Bleeding or escape of blood from a vessel.
Radiation IP	Radiation Therapy Interstitial Pneumonia	Treatment of a disease by means of exposure of the target or the whole body to radiation. Radiation therapy is often used as part of curative therapy and occasionally as a component of palliative treatment for cancer. Other uses include total body irradiation prior to transplantation.: Inflammation of interstitial lung tissue, usually associated with infection.
Recurrence/persistence/progression of disease reported for first HSCT	Recurrence Persistent PD	To come back or to return.: Retained; never-ceasing.: Cancer that is increasing in scope or severity.
Renal Disorder, NOS	None	A neoplastic or non-neoplastic condition affecting the kidney. Representative examples of non-neoplastic conditions include glomerulonephritis and nephrotic syndrome. Representative examples of neoplastic conditions include benign processes (e.g., renal lipoma and renal fibroma) and malignant processes (e.g., renal cell carcinoma and renal lymphoma).
Renal failure	Renal Failure	Acute or chronic condition, characterized by the inability of the kidneys to adequately filter the blood substances, resulting in uremia and electrolyte imbalances.  Acute renal failure is usually associated with oliguria or anuria, hyperkalemia, and pulmonary edema.  Chronic renal failure is irreversible and requires hemodialysis.--2004
Respiratory failure	Respiratory Failure	Impaired gas exchange by the respiratory system resulting in hypoxemia and decreased oxygenation of the tissues that may be associated with increased arterial levels of carbon dioxide. Causes include chronic obstructive pulmonary disease, asthma, emphysema, acute respiratory distress syndrome, pneumonia, pulmonary edema, pneumothorax, and congestive heart failure.
