PERMITTED_VALUE	DESCRIPTION	DEFINITION
Metastatic	None	A tumor that has spread from its original (primary) site of growth to another site, close to or distant from the primary site.  Metastasis is characteristic of advanced malignancies, but in rare instances can be seen in neoplasms lacking malignant morphology. -- 2004
Not Applicable	None	Determination of a value is not relevant in the current context.
Not Reported	None	Not provided or available.
Premalignant	None	A neoplasm that is composed of dysplastic cells and there is no morphologic evidence of infiltration of the surrounding tissues.
Primary	None	A tumor at the original site of origin.
Prior Primary	None	Recurrence of symptoms of a disease at the original site.
Progression	None	A clinical, pathologic, and/or molecular finding indicating that the course of a disease is worsening in terms of extent or severity.
Recurrent	None	The reemergence of neoplasm after a period of remission
Synchronous Primary	None	A malignant neoplasm arising in multiple primary sites.
Unknown	None	Not known, not observed, not recorded, or refused.
Xenograft	None	The transfer of cells, tissues, or organs from a donor into a recipient of another species.
