PERMITTED_VALUE	DESCRIPTION	DEFINITION
CCR4	CCR4 Gene	This gene is involved in chemokine-dependent G protein-coupled receptor signaling.
AFF1	AFF1 Gene	This gene is involved in transcriptional regulation and translocations in the gene are associated with acute leukemia.
ACVR2A	ACVR2A Gene	This gene plays a role in the transforming growth factor-beta signal transduction pathway through constitutive kinase activity.
ACVR1	ACVR1 Gene	This gene plays a role in the transforming growth factor-beta signal transduction pathway through serine/threonine specificity.
ACSL6	ACSL6 Gene	This gene is involved in the biosynthesis of lipids.
ACSL3	ACSL3 Gene	This gene is involved in lipid biosynthesis.
ACKR3	ACKR3 Gene	This gene is involved in the regulation of chemokine signaling.
ABL2	ABL2 Gene	This gene plays a role in signal transduction.
ABL1	ABL1 Gene	This gene is involved in cell adhesion, differentiation, division and stress response.
ABI1	ABI1 Gene	This gene plays a role in signal transduction and negative regulation of cell proliferation.
CALR	CALR Gene	This gene plays a role in calcium binding and protein folding.
CACNA1D	CACNA1D Gene	This gene is involved in voltage-dependent calcium transport.
C15orf65	C15orf65 Gene	This gene has no known function.
BUB1B	BUB1B Gene	This gene is involved in mitotic progression.
BTK	BTK Gene	This gene is involved in both signaling and B-cell development.
BTG1	BTG1 Gene	This gene is involved in the regulation of cell proliferation.
BRIP1	BRIP1 Gene	This gene is involved in DNA double-strand break repair.
BRD4	BRD4 Gene	This gene plays a role in mitosis.
BRD3	BRD3 Gene	This gene may play a role in both histone acetylation and transcriptional regulation.
BRCA2	BRCA2 Gene	BRCA2 putatively functions as a tumor suppressor gene, however, its exact function has not been well characterized. The similarity of, and functional analysis of, BRCA2 and BRCA1 proteins, suggests that these proteins function in the same genetic pathway. BRCA1 and BRCA2 have transcriptional activation potential and the two proteins are associated with the activation of double-strand break repair and/or homologous recombination. The two proteins have been shown to coexist and colocalize in a biochemical complex. (from LocusLink)
BRCA1	BRCA1 Gene	This gene plays a role in cell cycle control, regulation of transcription and the maintenance of genomic stability. It is also involved in the inhibition of mammary cell growth.
BRAF	BRAF Gene	This gene is involved in cell organization/biogenesis and the inhibition of apoptosis.
BMPR1A	BMPR1A Gene	This gene plays a role in the bone morphogenetic protein signaling pathway.
BMP5	BMP5 Gene	This gene plays a role in the regulation of mesenchymal differentiation. It is involved in cartilage and bone formation.
BLM	BLM Gene	This gene plays a role in DNA unwinding and recombination-mediated telomere lengthening.
BIRC6	BIRC6 Gene	This gene regulates the apoptotic program via signal transduction in the ubiquitination pathway.
BIRC3	BIRC3 Gene	This anti-apoptotic gene regulates apoptotic activity. BIRC3 gene promotes tumor cell survival.
BCORL1	BCORL1 Gene	This gene plays a role in the inhibition of gene expression.
BCOR	BCOR Gene	This gene plays a role in the repression of gene transcription.
BCLAF1	BCLAF1 Gene	Human BCLAF1 wild-type allele is located within 6q22-q23 and is approximately 33 kb in length. This allele, which encodes Bcl-2-associated transcription factor 1 protein, plays a role in both apoptosis promotion and the repression of transcription.
BCL9L	BCL9L Gene	This gene plays a role in the coactivation of gene transcription.
BCL9	BCL9 Gene	This gene plays a role in signal transduction and is involved in development.
BCL7A	BCL7A Gene	This gene may play a role in signal transduction.
BCL6	BCL6 Gene	This gene is involved in transcriptional repression and plays a role in the modulation of B-cell responses.
BCL3	BCL3 Gene	This gene is involved in transcriptional co-activation and signal transduction.
BCL2L12	BCL2L12 Gene	This gene is involved in the regulation of apoptosis.
BCL2	BCL2 Gene	A protein that helps control whether a cell lives or dies by blocking a type of cell death called apoptosis. The gene for BCL2 is found on chromosome 18, and transfer of the BCL2 gene to a different chromosome is seen in many B-cell leukemias and lymphomas. This causes the BCL2 protein to be made in larger amounts, which may keep cancer cells from dying.
BCL11B	BCL11B Gene Immunodeficiency Syndrome	This gene may play a role in tumor suppression, signaling and T cell development.: A deficiency of immune response or a disorder characterized by deficient immune response.
BCL11A	BCL11A Gene	This gene is involved in both the modulation of cell shape and lymphopoiesis.
BCL10	BCL10 Gene	This gene is involved in the promotion of apoptosis.
BARD1	BARD1 Gene	This gene plays a role in cellular response and is susceptible to oncogenic mutations in breast and ovarian cancers.
BAP1	BAP1 Gene	This gene is involved in cellular growth regulation and is purported to have tumor suppression activity.
B2M	B2M Gene	This gene plays a role in immune responses.
AXIN2	AXIN2 Gene	This gene is involved in signal transduction and plays a role in development.
AXIN1	AXIN1 Gene	This gene plays a role in signal transduction and is involved in development.
ATRX	ATRX Gene	This gene plays a role in the regulation of both chromatin remodeling and transcription.
ATR	ATR Gene	This gene is involved in cell cycle checkpoints and DNA recombination.
ATP2B3	ATP2B3 Gene	This gene plays a role in ATP-dependent calcium transport.
ATP1A1	ATP1A1 Gene	This gene is involved in both ion transport and ATP metabolism.
ATM	ATM Gene	This gene is involved in apoptosis, DNA repair and cell cycle regulation.
ATIC	ATIC Gene	This gene plays a role in purine biosynthesis.
ATF1	ATF1 Gene	This gene is involved in the modulation of transcription.
ASXL2	ASXL2 Gene	This gene plays a role in both chromatin modification and the positive regulation of transcription.
ASXL1	ASXL1 Gene	This gene may be involved in both transcriptional regulation and chromatin remodeling.
ASPSCR1	ASPSCR1 Gene	This gene is involved in the modulation of blood glucose levels.
ARNT	ARNT Gene	This gene is involved in xenobiotic metabolism and receptor-ligand mediated interactions.
ARID2	ARID2 Gene	This gene is involved in both transcriptional regulation and chromatin remodeling.
ARID1B	ARID1B Gene	This gene plays a role in both chromatin remodeling and transcriptional regulation.
ARID1A	ARID1A Gene	This gene plays a role in transcriptional regulation.
ARHGEF12	ARHGEF12 Gene	This gene plays a role in both G-protein coupled receptor- and Rho-mediated signaling.
ARHGAP5	ARHGAP5 Gene	This gene is involved in the regulation of GTPase activity.
ARHGAP26	ARHGAP26 Gene	This gene plays a role in signal transduction.
ARAF	ARAF Gene	This gene plays a role in signal transduction and the cellular response to mitogens.
AR	AR Gene	This gene plays a role in the transcriptional activation of androgen responsive genes.
APOBEC3B	APOBEC3B Gene	This gene plays a role in viral DNA cytosine deamination.
APC	APC Gene	This gene plays a role in signal transduction. It is involved in both adhesion and migration of cells.
ANK1	ANK1 Gene	This gene plays a role in red blood cell morphology.
AMER1	AMER1 Gene	This gene may play a role in kidney development.
ALK	ALK Gene	This gene is involved in brain development and neuronal specificity.
ALDH2	ALDH2 Gene	This gene plays a role in intermediary metabolism.
AKT3	AKT3 Gene	This gene is involved in signal transduction and the inhibition of apoptosis.
AKT2	AKT2 Gene	This gene plays a role in glucose homeostasis and the inhibition of apoptosis.
AKT1	AKT1 Gene	This gene is involved in signal transduction and negative regulation of apoptosis. It also plays a role in glucose transport, glycogen synthesis, protein synthesis and neuronal survival.
AKAP9	AKAP9 Gene	This gene plays a role in signal transduction and modulates synaptic transmission.
AFF4	AFF4 Gene	This gene plays a regulatory role in transcription and is involved in male germ cell differentiation.
AFF3	AFF3 Gene	This gene is involved in transcriptional activation and is purported to play roles in lymphoid development and oncogenesis.
A1CF	A1CF Gene	This gene is involved in the deamination of APOB mRNA.
TRD	T-Cell Receptor Delta Locus	This region represents the germline organization of the T cell receptordelta locus. The delta locus includes V (variable), J (joining), diversity (D), and C (constant) segments. During T cell development, the delta chain is synthesized by a recombination event at the DNA level joining a D segment with a J segment; a V segment is then joined to the D-J gene. The C segment is later joined by splicing at the RNA level. Recombination of many different V segments with several D and J segments provides a wide range of antigen recognition. Additional diversity is attained by junctional diversity, resulting from the random additional of nucleotides by terminal deoxynucleotidyltransferase. (from LocusLink)
TRB	T-Cell Receptor Beta Locus	This region represents the germline organization of the T cell receptor beta locus. The beta locus includes V (variable), J (joining), diversity (D), and C (constant) segments. During T cell development, the beta chain is synthesized by a recombination event at the DNA level joining a D segment with a J segment; a V segment is then joined to the D-J gene. The C segment is later joined by splicing at the RNA level. Recombination of many different V segments with several D and J segments provides a wide range of antigen recognition. Additional diversity is attained by junctional diversity, resulting from the random additional of nucleotides by terminal deoxynucleotidyltransferase.  Chromosomal abnormalities involving the T-cell receptor beta locus have been associated with T-cell lymphomas. (from LocusLink)
TRAF7	TRAF7 Gene	This gene is involved in both MAPK signaling and protein ubiquitination.
TRA	T-Cell Receptor Alpha Locus	This region represents the germline organization of the T cell receptor alpha locus. The alpha locus includes V (variable), J (joining), and C (constant) segments. During T cell development, the alpha chain is synthesized by a recombination event at the DNA level joining a V segment with a J segment. The C segment is later joined by splicing at the RNA level. Recombination of many different V segments with several J segments provides a wide range of antigen recognition. Additional diversity is attained by junctional diversity, resulting from the random additional of nucleotides by terminal deoxynucleotidyltransferase. (from LocusLink)
TPR	TPR Gene	This gene plays a role in both nuclear transport and mitosis.
TPM4	TPM4 Gene	This gene is involved in smooth muscle cell contraction.
TPM3	TPM3 Gene	This gene plays a role in muscle contraction.
TP63	TP63 gene	This gene plays a role in both transcriptional regulation and limb development.
TP53	TP53 Gene	This gene plays a critical role in cell cycle regulation and has tumor suppressor activity.
TOP1	TOP1 Gene	This gene is involved in the regulation of both DNA topology and transcription.
TNFRSF17	TNFRSF17 Gene	This gene is involved in the modulation of cytokine signaling.
TNFRSF14	TNFRSF14 Gene	This gene plays a role in receptor signaling.
TNFAIP3	TNFAIP3 Gene Immunodeficiency Syndrome	This gene may play a role in the regulation of apoptosis.: A deficiency of immune response or a disorder characterized by deficient immune response.
TNC	TNC Gene	This gene is involved in cell adhesion, differentiation and proliferation.
TMPRSS2	TMPRSS2 Gene	This gene plays a role in the activation of pathway signaling.
TMEM127	TMEM127 Gene	This gene may play a role in signaling and protein trafficking.
TLX3	TLX3 Gene	This gene may be involved in transcriptional regulation.
TLX1	TLX1 Gene	This gene plays a role in transcriptional regulation and organogenesis. Translocations in the gene are associated with acute T-cell leukemia.
THRAP3	THRAP3 Gene	This gene is involved in the activation of transcription.
TGFBR2	TGFBR2 Gene	This gene plays a role in cellular proliferation and mitogenic responses.
TFRC	TFRC Gene	This gene plays a regulatory role in receptor-mediated endocytosis and iron metabolism.
TFPT	TFPT Gene	This gene plays a role in the regulation of apoptosis.
TFG	TFG Gene	This gene is involved in signaling.
TFEB	TFEB Gene	This gene plays a role in transcription.
TFE3	TFE3 Gene	This gene plays a role in transcriptional activation. It is involved in melanogenesis.
TET2	TET2 Gene	This gene is involved in oxidation.
TET1	TET1 Gene	This gene is involved in the regulation of DNA methylation.
TERT	TERT Gene	This gene is involved in cell cycle regulation and telomere maintenance.
TEC	TEC gene	This gene is involved in signal transduction and regulation of immune function.
TCL1A	TCL1A Gene	This gene is involved in signal transduction.
TCF7L2	TCF7L2 Gene	This gene plays a role in signal transduction and regulation of transcription.
TCF3	TCF3 Gene	This gene plays a role in regulation of transcription. It is involved in the control of tissue-specific cell fate during embryogenesis.
TCF12	TCF12 Gene	This gene is involved in both transcriptional regulation and tissue differentiation.
TCEA1	TCEA1 Gene	This gene is involved in transcription.
TBX3	TBX3 Gene	This gene is involved in both transcriptional repression and limb development.
TBL1XR1	TBL1XR1 Gene	This gene is involved in transcriptional activation.
TAL2	TAL2 Gene	This gene is involved in transcriptional regulation. It plays a role in T-cell acute lymphocytic leukemia.
TAL1	TAL1 Gene	This gene plays a role in regulation of transcription and cell organization. It is involved in both embryonic hematopoiesis and adult erythropoiesis.
TAF15	TAF15 Gene	This gene plays a role in transcriptional initiation.
SYK	SYK Gene	This gene plays a role in receptor tyrosine phosphorylation signal transduction, phagocytosis, endothelial cell growth and proliferation.
SUZ12	SUZ12 Gene	This gene plays a role in embryonic development and histone methylation.
SUFU	SUFU Gene	This gene plays a role in the regulation of both transcription and signaling.
STRN	STRN Gene	This gene may play a role in cell scaffolding or calcium signaling.
STK11	STK11 Gene	This gene plays a role in cell cycle regulation. It is also putatively involved in glucose production.
STIL	STIL Gene	This gene plays a role in both cellular proliferation and embryonic development.
STAT6	STAT6 Gene	This gene plays a role in signal transduction and activation of transcription.
STAT5B	STAT5B Gene	This gene is involved in signal transduction and activation of transcription. It plays a role in the immune response via stimulation of T-cell proliferation.
