PERMITTED_VALUE	LONG_NAME	DEFINITION
8000/0	Benign Neoplasm	A neoplasm characterized by the absence of atypical or malignant cytological and architectural features, and absence of invasive features or metastatic potential.
8000/1	Neoplasm, Uncertain Whether Benign or Malignant	A neoplasm which, on morphologic grounds, can not be classified with certainty as benign or malignant.
8000/3	Malignant Neoplasm	A tumor composed of atypical neoplastic, often pleomorphic cells that invade other tissues.  Malignant neoplasms usually metastasize to distant anatomic sites and may recur after excision.  The most common malignant neoplasms are carcinomas (adenocarcinomas or squamous cell carcinomas), Hodgkin's and non-Hodgkin's lymphomas, leukemias, melanomas, and sarcomas. -- 2004
8000/6	Metastatic Neoplasm	A tumor that has spread from its original (primary) site of growth to another site, close to or distant from the primary site.  Metastasis is characteristic of advanced malignancies, but in rare instances can be seen in neoplasms lacking malignant morphology. -- 2004
8000/9	Malignant Neoplasm, Uncertain Whether Primary or Metastatic	A malignant neoplasm in which the examined tissue can not be determined with certainty if it represents the primary site of tumor growth or tumor spread from another anatomic site.
8001/0	Benign Cellular Infiltrate	A morphologic finding indicating the presence of a cellular infiltrate without atypia in a tumor sample.
8001/1	Neoplastic Cell	Cells of, or derived from, a tumor.
8001/3	Malignant Cell	Cells of, or derived from, a malignant tumor.
8003/3	Malignant Giant Cell Neoplasm	A malignant neoplasm characterized by then presence of atypical giant cells.
8004/3	Malignant Spindle Cell Neoplasm	A malignant neoplasm characterized by the presence of atypical spindle cells.
8005/0	Clear Cell Neoplasm	A purely morphologic term that describes a neoplasm in which all or the majority of the neoplastic cells have a clear cytoplasm, when examined under light microscopy, using the conventional staining method (H-E). This term does not provide any information about the nature of the neoplasm (benign or malignant), cell of origin (e.g. epithelial versus mesenchymal versus hematopoietic), or prognosis. Further examination using special stains and/or immunohistochemistry is required to appropriately classify this tumor.
8005/3	Malignant Ovarian Clear Cell Tumor	An invasive malignant neoplasm that arises from the ovary and is characterized by a predominance of clear and hobnail malignant epithelial cells.
8010/2	Carcinoma In Situ	A malignant epithelial neoplasm which is confined to the epithelial layer without evidence of further tissue invasion.
8010/6	Metastatic Carcinoma	A carcinoma which has spread from the original site of growth to another anatomic site.
8010/9	Carcinomatosis	A condition in which cancer is spread widely throughout the body.
8012/3	Large Cell Carcinoma	A malignant epithelial neoplasm composed of large, atypical cells.
8013/3	Large Cell Neuroendocrine Carcinoma	A usually aggressive carcinoma composed of large malignant cells which display neuroendocrine characteristics. It is characterized by the presence of high mitotic activity and necrotic changes. The vast majority of cases are positive for neuron-specific enolase. Representative examples include lung, breast, cervical, and thymic neuroendocrine carcinomas.
8014/3	Lung Large Cell Carcinoma with Rhabdoid Phenotype	A large cell lung carcinoma characterized by the presence of rhabdoid cells.
8015/3	Glassy Cell Carcinoma	A malignant epithelial neoplasm composed of atypical cells with glassy cytoplasm.
8022/3	Pleomorphic Carcinoma	A usually aggressive malignant epithelial neoplasm composed of cells with significant cytologic atypia and nuclear pleomorphism.
8023/3	NUT Carcinoma	A rare, highly aggressive and lethal carcinoma that affects children and young adults.  It arises from midline epithelial structures, most commonly the head, neck, and mediastinum.  It is a poorly differentiated carcinoma and is characterized by mutations and rearrangement of the NUT gene.  A balanced translocation t(15;19) is present that results in the creation of a fusion gene involving the NUT gene, most commonly BRD4-NUT fusion gene.
8031/3	Giant Cell Carcinoma	A malignant epithelial neoplasm composed of giant, pleomorphic cells.
8035/3	Undifferentiated Carcinoma with Osteoclast-Like Giant Cells	A usually aggressive malignant epithelial neoplasm composed of atypical cells which do not display evidence of glandular or squamous differentiation and giant cells resembling osteoclasts.
8045/3	Combined Small Cell Lung Carcinoma	A morphologic variant of small cell lung carcinoma in combination with a non-small cell carcinoma.
8046/3	Non-Small Cell Carcinoma	A malignant epithelial neoplasm characterized by the absence of neoplastic small epithelial cells. A representative example is the lung non-small cell carcinoma.
