PERMITTED_VALUE	DESCRIPTION	DEFINITION
Not Reported	None	Not provided or available.
T0	T0 Stage Finding	A primary tumor TNM finding indicating that there is no evidence of primary tumor.
T1	T1 Stage Finding	A clinical and/or pathologic primary tumor TNM finding indicating that the cancer is limited to the site of growth.
T1a	T1a Stage Finding	A general term that refers to a TNM finding of a primary tumor limited to the site of growth.  The definition of T1a TNM finding depends on the specific type of cancer that it refers to; for example, for breast cancer it refers to a primary tumor that is more than 0.1cm, but not more than 0.5 cm in greatest dimension; for kidney cancer it refers to a primary tumor that is 4 cm or less in greatest dimension; and for thyroid cancer it refers to a primary tumor that is 1 cm or less in greatest dimension.
T1a1	Stage T1a1 Finding	A pathologic primary tumor TNM stage finding.  The definition of pT1a stage finding depends on the particular type of cancer that it refers to; for example, for breast cancer, pT1a stage finding is defined as follows: cancer with tumor size more than 0.1 cm, but not more than 0.5 cm in greatest dimension; for lung cancer, pT1a stage finding is defined as follows: cancer with a tumor size of 2 cm or less in greatest dimension, surrounded by lung or visceral pleura and without bronchoscopic evidence of invasion more proximal than the lobar bronchus (i.e., not in the main bronchus). The uncommon superficial tumor of any size with its invasive component limited to the bronchial wall, which may extend proximal to the main bronchus, is also classified as T1a. (from AJCC 7th Ed.)
T1a2	Stage T1a2 Finding	Invasive cervical cancer with measured stromal invasion more than 3.0 mm and not more than 5.0 mm with a horizontal spread 7.0 mm or less. (from AJCC 7th Ed.)
T1b	T1b Stage Finding	A general term that refers to a TNM finding of a primary tumor limited to the site of growth.  The definition of T1b TNM finding depends on the specific type of cancer that it refers to; for example, for breast cancer it refers to a primary tumor that is more than 0.5 cm, but not more than 1.0 cm in greatest dimension; for kidney cancer it refers to a primary tumor that is more than 4 cm, but not more than 7 cm in greatest dimension; and for thyroid cancer it refers to a primary tumor that is more than 1 cm but not more than 2 cm in greatest dimension.
T1b1	T1b1 Stage Finding	Cervical cancer with clinically visible lesion 4.0 cm or less in greatest dimension confined to the cervix. (from AJCC 7th Ed.)
T1b2	T1b2 Stage Finding	Invasive cervical cancer with clinically visible lesion more than 4.0 cm in greatest dimension confined to the cervix. (from AJCC 7th Ed.)
T1c	T1c Stage Finding	A general term that refers to a TNM finding of a primary tumor limited to the site of growth.  The definition of T1c TNM finding depends on the specific type of cancer that it refers to; for example, for breast cancer it refers to a primary tumor that is more than 1.0 cm, but not more than 2.0 cm in greatest dimension; for uterine corpus cancer it refers to a primary tumor that invades one-half or more of the myometrium; and for melanoma of the iris it refers to a primary tumor limited to the iris with secondary glaucoma.
T1mi	T1mi Stage Finding	A term that refers to a TNM finding of a primary tumor limited to the site of growth and indicates microinvasion only.
